m,cpu_time,gpu_time,g
9,12255,316,38.7816
12,15963,411,38.8394
15,20005,505,39.6139
18,23917,580,41.2362
21,27937,675,41.3881
24,31838,773,41.1876
27,35867,878,40.8508
30,39765,959,41.4651
33,43807,1064,41.172
36,47631,1157,41.1677
39,51721,1307,39.5723
42,55543,1392,39.9016
45,59646,1487,40.1116
48,63476,1606,39.5243
51,67582,1674,40.3716
54,71356,1763,40.4742
57,75518,1852,40.7765
60,79398,1984,40.0192
63,83446,2105,39.6418
66,87302,2189,39.8821
69,91354,2266,40.3151
72,95143,2366,40.2126
75,99301,2453,40.4815
78,103075,2547,40.4692
81,107239,2815,38.0956
84,111007,2907,38.1861
87,115169,2976,38.6993
90,118923,3132,37.9703
93,123125,3169,38.853
96,126855,3280,38.6753
99,131091,3417,38.3644
102,134745,3449,39.0678
